Price,Close,High,Low,Open,Volume
Ticker,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP
Date,,,,,
2023-03-29,37279.0,37383.05078125,36903.05078125,36911.44921875,321800
2023-03-31,37797.75,37848.3515625,37488.3984375,37493.0,331000
2023-04-03,37891.3515625,37987.75,37687.19921875,37987.44921875,187800
2023-04-05,38094.30078125,38125.94921875,37828.19921875,37905.30078125,208200
2023-04-06,38187.05078125,38231.55078125,38008.3984375,38119.3984375,190600
2023-04-10,38296.75,38375.94921875,38159.1015625,38293.69921875,188100
2023-04-11,38379.6484375,38580.05078125,38245.6015625,38467.55078125,168900
2023-04-12,38560.8984375,38588.44921875,38403.1015625,38482.3515625,171500
2023-04-13,38496.75,38623.30078125,38411.55078125,38592.0,155400
2023-04-17,38663.5,38690.0,38300.94921875,38498.3515625,155000
2023-04-18,38806.1484375,38885.6484375,38620.69921875,38745.8984375,159200
2023-04-19,38459.94921875,38841.30078125,38415.8984375,38834.5,182400
2023-04-20,38475.6484375,38581.8515625,38414.44921875,38513.5,139300
2023-04-21,38426.05078125,38548.55078125,38303.25,38524.0,223200
2023-04-24,38572.0,38592.5,38380.75,38521.75,156700
2023-04-25,38738.6015625,38809.1484375,38570.8515625,38613.3984375,331100
2023-04-26,38888.3984375,38913.19921875,38679.69921875,38722.8984375,177400
2023-04-27,38992.0,39022.69921875,38841.69921875,38917.5,223800
2023-04-28,39514.19921875,39558.80078125,39032.1015625,39100.69921875,423000
2023-05-02,39774.5,39828.8515625,39606.8984375,39647.55078125,268400
2023-05-03,39845.1484375,39931.80078125,39658.30078125,39731.3984375,225500
2023-05-04,40096.1484375,40119.94921875,39881.25,39949.6015625,281800
2023-05-05,40091.25,40303.19921875,40034.25,40101.55078125,241100
2023-05-08,40365.1015625,40391.94921875,40153.1484375,40174.05078125,258200
2023-05-09,40323.30078125,40613.6015625,40218.30078125,40447.0,285500
2023-05-10,40551.5,40580.05078125,40256.0,40386.75,199500
2023-05-11,40867.0,40900.80078125,40648.19921875,40741.6484375,191400
2023-05-12,40801.1015625,40976.1484375,40651.0,40874.0,198300
2023-05-15,40995.05078125,41145.94921875,40778.69921875,40825.25,195900
2023-05-16,41052.05078125,41256.80078125,41018.44921875,41097.19921875,276100
2023-05-17,40821.3984375,41137.0,40668.6484375,41124.5,203400
2023-05-18,40415.3515625,41044.19921875,40353.3984375,40983.19921875,217400
2023-05-19,40546.1484375,40630.5,40090.25,40453.3984375,237600
2023-05-22,40923.44921875,40938.19921875,40465.8515625,40601.8984375,309800
2023-05-23,41010.3515625,41194.0,40968.1484375,41100.0,231000
2023-05-24,40984.05078125,41122.55078125,40897.69921875,41014.6484375,213900
2023-05-25,41213.30078125,41275.19921875,40944.6015625,41005.19921875,307700
2023-05-26,41684.69921875,41710.8515625,41186.3515625,41225.5,255700
2023-05-29,41925.30078125,41996.94921875,41840.25,41980.5,206800
2023-05-30,41946.0,42031.25,41834.8515625,41961.6015625,190400
2023-05-31,42049.30078125,42129.3515625,41804.8515625,41899.3984375,612200
2023-06-01,42154.69921875,42320.8984375,42067.80078125,42132.8984375,200000
2023-06-02,42331.3984375,42372.8984375,42216.05078125,42290.30078125,329300
2023-06-05,42401.3515625,42546.55078125,42360.44921875,42419.0,238400
2023-06-06,42597.1015625,42642.8515625,42352.6015625,42475.30078125,197300
2023-06-07,42998.5,43027.6484375,42710.3984375,42766.30078125,209400
2023-06-08,42713.44921875,43119.5,42652.3984375,43103.55078125,244800
2023-06-09,42672.6484375,42862.69921875,42630.3984375,42804.1015625,205100
2023-06-12,42870.55078125,42946.3515625,42646.5,42793.25,243500
2023-06-13,43278.6484375,43304.5,42997.19921875,43039.30078125,222300
2023-06-14,43379.25,43424.8515625,43250.80078125,43407.80078125,227900
2023-06-15,43393.8515625,43641.19921875,43339.1015625,43460.0,222900
2023-06-16,43836.75,43932.3515625,43530.0,43568.6484375,234200
2023-06-19,43764.69921875,44054.1015625,43709.1015625,43978.25,211100
2023-06-20,43926.30078125,43978.25,43674.1015625,43861.3515625,182400
2023-06-21,43905.6484375,44175.55078125,43749.5,44044.1484375,213500
2023-06-22,43387.1484375,43985.1015625,43341.1484375,43984.94921875,206000
2023-06-23,42833.1484375,43414.80078125,42781.55078125,43406.5,205400
2023-06-26,43006.6015625,43070.75,42589.8515625,42669.30078125,161900
2023-06-27,43192.6015625,43254.5,43074.1015625,43149.6484375,188500
2023-06-28,43465.44921875,43524.05078125,43263.30078125,43381.80078125,301400
2023-06-30,43750.30078125,43782.8984375,43575.5,43622.6484375,269200
2023-07-03,43924.8515625,43966.1015625,43780.8515625,43921.75,224300
2023-07-04,43758.19921875,44081.0,43647.8984375,44073.55078125,159900
2023-07-05,44108.0,44156.80078125,43867.1484375,43932.30078125,217400
2023-07-06,44372.1015625,44396.75,44136.69921875,44209.3515625,236600
2023-07-07,44002.5,44510.1015625,43928.0,44371.3984375,225700
2023-07-10,43759.94921875,44132.94921875,43659.69921875,44120.0,169300
2023-07-11,44090.80078125,44210.1015625,43812.55078125,43866.30078125,220300
2023-07-12,44202.8515625,44231.05078125,43949.19921875,44186.3984375,203200
2023-07-13,43917.1015625,44473.19921875,43781.05078125,44392.05078125,362900
2023-07-14,44243.05078125,44286.6484375,43890.3984375,44113.75,242600
2023-07-17,44370.1484375,44437.8984375,44258.3984375,44334.94921875,186600
2023-07-18,44180.6015625,44507.1015625,44053.1484375,44506.8984375,204000
2023-07-19,44414.3984375,44444.8984375,44242.19921875,44289.6484375,173500
2023-07-20,44350.80078125,44506.1484375,44166.44921875,44489.6484375,170600
2023-07-21,44184.75,44401.1484375,44139.80078125,44292.69921875,229500
2023-07-24,44176.80078125,44345.19921875,44113.1484375,44256.6484375,233700
2023-07-25,44407.55078125,44432.25,44118.0,44253.25,243400
2023-07-26,44568.25,44622.0,44446.3984375,44579.6484375,223700
2023-07-27,44696.44921875,44824.0,44543.30078125,44682.30078125,236600
2023-07-28,45166.3984375,45187.94921875,44732.5,44858.3515625,325800
2023-07-31,45287.0,45368.44921875,45151.69921875,45156.0,268500
2023-08-01,45263.25,45408.55078125,45170.6015625,45393.55078125,216300
2023-08-02,44645.80078125,45242.3515625,44316.55078125,45219.6015625,269900
2023-08-03,44414.55078125,44621.1015625,44150.05078125,44588.3515625,506800
2023-08-04,44765.0,44913.8984375,44627.80078125,44637.1015625,585200
2023-08-07,44838.44921875,44930.94921875,44696.8515625,44908.0,426100
2023-08-08,44838.80078125,44989.6484375,44547.75,44953.8984375,335400
2023-08-09,44948.1484375,44983.05078125,44728.25,44950.80078125,245200
2023-08-10,44676.1484375,45009.5,44578.0,45009.5,252500
2023-08-11,44566.69921875,44862.5,44508.0,44824.25,225700
2023-08-14,44008.75,44460.55078125,43600.1015625,44460.55078125,211200
2023-08-16,44009.75,44045.05078125,43662.1484375,43889.19921875,0
2023-08-17,43892.8515625,44127.19921875,43838.05078125,44075.6015625,157100
2023-08-18,43681.0,43883.1015625,43613.25,43855.6015625,179700
2023-08-21,44033.8984375,44064.6015625,43691.05078125,43756.3515625,146100
2023-08-22,44324.5,44359.69921875,44142.55078125,44176.30078125,246700
2023-08-23,44346.0,44555.94921875,44316.25,44466.0,223400
2023-08-24,44504.6015625,44730.44921875,44458.05078125,44626.8984375,202100
2023-08-25,44087.55078125,44531.19921875,44008.80078125,44431.0,219100
2023-08-28,44326.44921875,44400.5,44121.8515625,44276.8515625,258800
